Categoria,Tipo,Producto,Alergenos
Congelados,"Helados, postres y nata",Secret Sensation Chocolat Fondant helado con centro de chocolate líquido,"Nata,leche,huevo,trigo"
Congelados,"Helados, postres y nata",Vanilla helado de vainilla,"Nata,leche,huevo"
Congelados,"Helados, postres y nata",Mint Leaves & Chocolate helado de chocolate con menta,"Nata,leche,huevo,butteroil,soja"
Congelados,"Helados, postres y nata",Strawberries & Cream helado de crema y fresa con trozos de fresa,"Nata,leche,huevo"
Congelados,"Helados, postres y nata",Caramel Attraction tarrinas de helado sabor caramelo 4 unidades de 86 ml,"Nata,leche,trigo,huevo,soja,mantequilla,Puede contener ingredientes de la,y de,frutos de cáscara"
Congelados,"Helados, postres y nata",Fruit Collection tarrinas de helado sabores fruta 4 unidades 87 ml,"Nata,leche,huevo"
Congelados,"Helados, postres y nata",Salted caramel cheesecake helado de tarta de queso y caramelo,"Nata,leche,trigo,huevo,queso,nata,mantequilla,butteroil"
Congelados,"Helados, postres y nata",Cookies & Cream helado de vainilla con trocitos de galletas de chocolate,"Nata,leche,huevo,trigo"
Congelados,"Helados, postres y nata",Macadamia Nut Brittle helado de vainilla con nueces de macadamia caramelizadas,"Nata,leche,huevo,nueces de macadamia,mantequilla,Puede contener ingredientes de otros frutos de cáscara."
Congelados,"Helados, postres y nata",Belgian Chocolate helado de chocolate belga con láminas de chocolate negro belga,"Nata,leche,huevo,soja"
Congelados,"Helados, postres y nata",Strawberry Cheescake helado de tarta de queso con salsa de fresa y trocitos de galleta,"Nata,leche,trigo,huevo,queso,butteroil"
Congelados,"Helados, postres y nata",Dulce de Leche helado de dulce de leche,"Nata,leche,huevo,soja"
Congelados,"Helados, postres y nata",peanut butter crunch helado de mantequilla de cacahuete,"Nata,cacahuetes,cacahuete,leche,huevo"
Congelados,"Helados, postres y nata",Caramel Biscuit & Cream helado de caramelo con trocitos de galleta,"Nata,leche,trigo,huevo,soja"
Congelados,"Helados, postres y nata",helado de mango y frambruesa,"Nata,leche,huevo"
Congelados,"Helados, postres y nata",Salted caramel helado sabor caramelo salado,"Nata,leche,huevo,mantequilla,Puede contener ingredientes de la,soja,frutos de cáscara"
Congelados,"Helados, postres y nata",Vainilla caramel brownie helado sabor brownie de vainilla y caramelo,"Nata,leche,huevo,trigo"
Congelados,"Helados, postres y nata",Vanilla Attract tarrinas de helado varios sabores 4 unidades de 100ml,"Nata,leche,huevo,nueces de macadamia,mantequilla,Puede contener ingredientes de otros frutos de cáscara.,nueces pacanas,trigo"
Congelados,"Helados, postres y nata",tarrinas sabor mango 2 unidades y framabuesa 2 unidades de 100 ml,
Congelados,"Helados, postres y nata",tarrinas sabor yogur y yogur de fresa 4 unidades de 100 ml,"Yogur,leche,nata,huevo"
Congelados,"Helados, postres y nata",Chocolate Attraction tarrinas de helado sabores chocolate 4 unidades de 100 ml,
Congelados,"Helados, postres y nata",helado de vainilla,
Congelados,"Helados, postres y nata",helado de chocolate con trocitos de chocolate con 70% de cacao ecuatoriano,"Leche,leche,frutos de cáscara,soja"
Congelados,"Helados, postres y nata",helado sorbete limón con zumo de limón,leche
